
Test: Connect / Disconnect

Test: Disconnect during reco cancels.
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.987Z"} | privId: BE568F5BFF2040B29E1CB54AB02AA1F5 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.991Z"} | privId: 018CA66A93944C03878C8D1A55FCCA60 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Received: undefined | undefined | privBody: {"context":{"serviceTag":"286f2eac10644633a913a36a06334eec"}} | privMessageType: 0 | privHeaders: {"x-requestid":"FAKE","path":"turn.start","content-type":"application/json; charset=utf-8"} | privId: 7EC3F86709CB494F8BF397BCDC8177F8 | privSize: 75
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:23.337Z"} | privId: BB611367B12240AE8E19E61D9BB71234 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:23.399Z"} | privId: 65F867B601CD47778D80483A5963CB9D | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:23.487Z"} | privId: 61F9AAAD75124F91AEE0621F0E69CBB4 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:23.557Z"} | privId: 41704C2EA0664F4F874187D037E47E59 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Received: undefined | undefined | privBody: {"Offset":300000} | privMessageType: 0 | privHeaders: {"x-requestid":"FAKE","path":"speech.startDetected","content-type":"application/json; charset=utf-8"} | privId: F1C59E6418E14AF297636EE94C0F56B4 | privSize: 17
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:23.637Z"} | privId: 14F710622AD047F4B3177DB5AFBA5F8B | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:23.708Z"} | privId: 78D7CD63C7DE4AA7ACFCD8435A323AA0 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
